Word,Start Time,End Time,Speaker
i,0.06,0.36,Mira
can,0.48,0.72,Mira
pay,0.72,0.9,Mira
and,0.901,1.106,Mira
one,1.11,1.47,Mira
when,1.65,1.98,Mira
walking,2.07,2.52,Mira
on,2.52,2.82,Mira
new,3.0,3.27,Mira
fall,3.28,3.78,Mira
in,3.93,4.08,Mira
saigon,4.08,4.59,Mira
during,4.59,5.04,Mira
we,5.22,5.49,Mira
it,5.76,5.91,Mira
for,6.3,6.54,Mira
new,6.54,6.93,Mira
in,7.11,7.29,Mira
russia,7.29,7.77,Mira
don't,7.83,8.16,Mira
dare,8.16,8.4,Mira
to,8.4,8.55,Michael
go,8.55,8.73,Michael
out,8.73,8.94,Michael
alone,8.94,9.36,Michael
really,9.63,10.02,Michael
america's,10.14,10.59,Michael
the,10.59,10.68,Michael
same,10.68,11.07,Michael
many,11.13,11.37,Michael
areas,11.37,11.67,Michael
aren't,11.67,11.91,Michael
and,12.18,12.48,Michael
one,12.48,12.87,Michael
for,13.02,13.47,Michael
for,13.65,13.95,Michael
new,13.969,14.37,Michael
i,14.55,14.64,Michael
like,14.64,14.85,Michael
that,14.85,14.97,Michael
vietnam,14.97,15.45,Michael
has,15.45,15.6,Michael
many,15.6,15.84,Michael
people,15.84,16.11,Michael
on,16.11,16.29,Michael
your,16.59,16.83,Michael
for,16.839,17.37,Mira
at,17.52,17.73,Mira
night,17.73,18.09,Mira
that's,18.39,18.69,Mira
right,18.69,18.99,Mira
the,18.99,19.35,Mira
new,19.53,19.77,Mira
for,19.8,20.16,Mira
here,20.43,20.67,Mira
are,20.67,20.91,Mira
always,21.0,21.51,Mira
crowded,21.51,22.11,Mira
but,22.47,22.65,Mira
sometimes,22.65,23.22,Mira
i,23.22,23.37,Mira
find,23.37,23.701,Mira
the,23.701,23.76,Mira
way,23.76,23.94,Mira
vietnamese,23.94,24.57,Mira
men,24.57,24.81,Mira
look,24.81,25.02,Mira
at,25.02,25.17,Mira
me,25.17,25.5,Mira
a,26.04,26.13,Michael
bit,26.13,26.34,Michael
strange,26.34,27.06,Michael
maybe,27.36,27.84,Michael
because,27.84,28.23,Michael
you're,28.23,28.38,Michael
a,28.38,28.44,Michael
beautiful,28.44,28.86,Michael
foreigner,28.86,29.34,Michael
but,30.42,30.57,Michael
i,30.57,30.66,Michael
understand,30.66,31.08,Michael
that,31.08,31.29,Michael
uncomfortable,31.29,31.95,Michael
county,32.22,32.94,Michael
i,33.06,33.21,Michael
could,33.21,33.57,Michael
with,33.72,33.93,Michael
you,33.93,34.11,Michael
during,34.11,34.53,Michael
boy,34.805,35.49,Michael
if,35.64,35.76,Michael
you,35.76,35.88,Michael
want,35.88,36.06,Michael
to,36.06,36.12,Michael
feel,36.12,36.33,Michael
more,36.33,36.69,Michael
and,36.9,37.14,Mira
one,37.14,37.59,Mira
you,37.8,37.95,Mira
think,37.95,38.16,Mira
any,38.16,38.34,Mira
protection,38.34,39.12,Mira
i,39.87,39.99,Mira
play,39.99,40.17,Mira
chess,40.17,40.65,Mira
i,40.65,40.8,Mira
know,40.8,40.98,Mira
how,40.98,41.1,Mira
to,41.1,41.22,Mira
calculate,41.22,41.82,Mira
every,41.88,42.18,Mira
situation,42.18,42.96,Mira
but,43.26,43.62,Mira
if,44.43,44.58,Mira
you,44.58,44.7,Mira
want,44.7,44.88,Mira
to,44.88,45.09,Mira
with,45.15,45.39,Mira
me,45.39,45.72,Mira
i,45.84,45.99,Mira
won't,45.99,46.23,Michael
refuse,46.23,46.8,Michael
so,47.01,47.28,Michael
tomorrow,47.28,47.82,Michael
boy,48.097,48.78,Michael
would,48.93,49.11,Michael
you,49.11,49.2,Michael
like,49.2,49.38,Michael
to,49.38,49.47,Michael
take,49.47,49.68,Michael
a,49.68,49.74,Michael
walk,49.74,50.07,Michael
and,50.07,50.16,Michael
tell,50.16,50.31,Michael
me,50.31,50.43,Michael
more,50.43,50.73,Michael
about,50.73,50.94,Michael
your,50.94,51.06,Michael
thoughts,51.06,51.45,Michael
on,51.45,51.72,Michael
and,51.96,52.23,Michael
one,52.23,52.65,Michael
for,52.8,53.25,Michael
for,53.49,53.76,Michael
new,53.79,54.21,Michael
in,54.36,54.51,Michael
vietnam,54.51,54.99,Michael
title,55.05,55.35,Michael
card,55.35,55.74,Michael
safe,55.98,56.25,Michael
streets,56.25,56.55,Michael
for,56.55,56.67,Michael
women,56.67,56.97,Michael
