Word,Start Time,End Time,Speaker
have,0.06,0.21,Michael
you,0.21,0.3,Michael
heard,0.3,0.54,Michael
that,0.54,0.87,Michael
some,1.08,1.59,Michael
is,1.71,1.86,Michael
detaining,1.86,2.31,Michael
green,2.31,2.55,Michael
card,2.55,2.79,Michael
holders,2.79,3.24,Michael
it's,3.39,3.57,Michael
crazy,3.57,4.08,Michael
his,4.11,4.38,Michael
syncing,4.59,5.07,Michael
a,5.07,5.13,Michael
who,5.249,5.61,Michael
is,5.76,5.91,Michael
getting,5.91,6.15,Michael
increasingly,6.15,6.75,Michael
harsh,6.75,7.23,Michael
you,7.5,7.68,Mira
always,7.68,8.04,Mira
talk,8.04,8.4,Mira
about,8.4,8.88,Mira
some,9.06,9.36,Mira
acting,9.39,9.72,Mira
sucking,9.72,9.99,Mira
up,9.99,10.101,Mira
cool,10.101,10.5,Mira
i,10.65,10.74,Mira
don't,10.74,10.95,Mira
care,10.95,11.31,Mira
much,11.31,11.55,Mira
about,11.55,11.97,Mira
it,11.97,12.27,Mira
but,12.54,12.96,Mira
i,13.35,13.53,Mira
once,13.53,13.83,Mira
feared,13.83,14.19,Mira
deportation,14.19,15.06,Mira
when,15.06,15.24,Mira
i,15.24,15.33,Mira
was,15.33,15.48,Mira
still,15.48,15.69,Mira
in,15.69,15.81,Mira
russia,15.81,16.38,Mira
that,16.71,16.92,Mira
feeling,16.92,17.28,Mira
was,17.28,17.52,Mira
truly,17.52,18.09,Michael
think,18.24,18.541,Michael
home,18.541,18.87,Michael
i'm,19.14,19.29,Michael
sorry,19.29,19.62,Michael
i,19.62,19.71,Michael
didn't,19.71,19.92,Michael
know,19.92,20.1,Michael
you,20.1,20.16,Michael
he,20.16,20.19,Michael
went,20.19,20.37,Michael
through,20.37,20.52,Michael
that,20.52,20.79,Michael
syncing,21.15,21.63,Michael
of,21.63,21.75,Michael
goo,21.75,22.2,Michael
affects,22.35,22.68,Michael
more,22.68,22.89,Michael
people,22.89,23.16,Michael
than,23.16,23.31,Michael
we,23.31,23.43,Michael
think,23.43,23.82,Michael
sometimes,24.54,25.05,Michael
i,25.05,25.11,Michael
forget,25.11,25.44,Michael
your,25.44,25.62,Michael
also,25.62,25.95,Michael
an,25.95,26.04,Michael
immigrant,26.04,26.55,Mira
it's,26.88,27.12,Mira
okay,27.12,27.69,Mira
but,27.72,27.93,Mira
it,27.93,28.08,Mira
is,28.08,28.47,Mira
think,28.62,28.905,Mira
home,28.905,29.28,Mira
to,29.43,29.61,Mira
think,29.61,29.85,Mira
about,29.85,30.06,Mira
being,30.06,30.24,Mira
expelled,30.24,30.75,Mira
from,30.75,30.9,Mira
a,30.9,30.96,Mira
place,30.96,31.29,Mira
you,31.29,31.38,Mira
consider,31.38,31.8,Mira
home,31.8,32.16,Mira
i,32.91,33.03,Mira
felt,33.03,33.3,Mira
safe,33.3,33.63,Mira
in,33.63,33.75,Mira
saigon,33.75,34.32,Mira
but,34.56,34.74,Mira
i'm,34.74,34.83,Mira
still,34.83,35.19,Mira
worried,35.19,35.49,Mira
about,35.49,35.67,Mira
the,35.67,35.76,Mira
future,35.76,36.36,Michael
i,36.69,36.81,Michael
promise,36.81,37.2,Michael
i,37.2,37.26,Michael
won't,37.26,37.47,Michael
let,37.47,37.59,Michael
that,37.59,37.74,Michael
happen,37.74,38.04,Michael
to,38.04,38.13,Michael
you,38.13,38.31,Michael
sing,38.64,38.85,Michael
sing,38.85,39.12,Michael
of,39.12,39.24,Michael
who,39.24,39.69,Michael
may,39.78,40.02,Michael
change,40.02,40.53,Michael
but,40.74,40.92,Michael
i'll,40.92,41.01,Michael
always,41.01,41.31,Michael
be,41.31,41.43,Michael
here,41.43,41.64,Michael
for,41.64,41.79,Michael
you,41.79,42.03,Michael
we,42.36,42.51,Michael
can,42.51,42.66,Michael
find,42.66,42.93,Michael
a,42.93,42.99,Michael
way,42.99,43.23,Michael
