Word,Start Time,End Time,Speaker
hey,0.06,0.3,Mira
michael,0.3,0.75,Mira
did,0.75,0.9,Mira
you,0.9,1.02,Mira
watch,1.02,1.29,Mira
the,1.29,1.68,Mira
bomb,1.74,1.98,Mira
that,1.98,2.4,Mira
much,2.49,2.79,Mira
last,2.79,3.09,Mira
night,3.09,3.39,Mira
vietnam's,3.57,4.17,Mira
team,4.2,4.53,Mira
played,4.53,4.83,Mira
so,4.83,5.1,Mira
well,5.1,5.49,Mira
but,5.49,5.7,Mira
i,5.7,5.79,Mira
found,5.79,6.24,Mira
the,6.24,6.33,Mira
way,6.33,6.54,Mira
vietnamese,6.54,7.14,Mira
people,7.14,7.62,Mira
dying,7.8,8.04,Mira
they're,8.04,8.43,Mira
quite,8.52,8.82,Mira
unique,8.82,9.33,Mira
of,9.6,9.72,Michael
course,9.72,9.99,Michael
i,9.99,10.08,Michael
did,10.08,10.41,Michael
i,11.01,11.13,Michael
can't,11.13,11.37,Michael
miss,11.37,11.58,Michael
any,11.58,11.79,Michael
matches,11.79,12.18,Michael
of,12.18,12.27,Michael
the,12.27,12.33,Michael
vietnamese,12.33,12.87,Michael
national,12.87,13.32,Michael
team,13.32,13.68,Michael
by,14.1,14.28,Michael
the,14.28,14.37,Michael
way,14.37,14.7,Michael
i,14.85,14.97,Michael
didn't,14.97,15.15,Michael
know,15.15,15.27,Michael
you,15.27,15.39,Michael
liked,15.39,15.75,Michael
bomba,15.84,16.41,Michael
i,16.65,16.74,Michael
thought,16.74,16.95,Michael
you,16.95,17.04,Michael
only,17.04,17.22,Michael
like,17.22,17.46,Michael
chess,17.49,17.94,Michael
hoof,18.18,18.63,Michael
don't,18.84,19.35,Mira
think,19.44,19.71,Mira
that,19.71,20.07,Mira
others,20.19,20.58,Mira
by,20.58,20.82,Mira
their,20.82,21.0,Mira
appearance,21.0,21.78,Mira
in,21.9,22.08,Mira
cousin,22.08,22.65,Mira
been,22.86,23.1,Mira
there,23.1,23.55,Mira
is,23.64,23.82,Mira
very,23.82,24.06,Mira
popular,24.06,24.69,Mira
and,24.69,24.84,Mira
i,24.84,24.93,Mira
grew,24.93,25.17,Mira
up,25.17,25.35,Mira
with,25.35,25.53,Mira
it,25.53,25.86,Mira
but,26.16,26.34,Mira
i,26.34,26.4,Mira
must,26.4,26.67,Mira
admit,26.67,27.03,Mira
that,27.03,27.15,Mira
the,27.15,27.246,Mira
way,27.246,27.48,Mira
vietnamese,27.48,28.14,Mira
people,28.14,28.65,Mira
google,28.71,29.31,Mira
is,29.4,29.55,Mira
much,29.55,29.88,Mira
more,29.88,30.06,Mira
enthusiastic,30.06,30.93,Mira
than,30.93,31.11,Mira
in,31.11,31.23,Mira
russia,31.23,31.77,Mira
especially,32.4,32.91,Mira
those,32.91,33.12,Mira
chanting,33.12,33.54,Mira
songs,33.54,34.14,Michael
sorry,34.44,34.83,Michael
i,34.83,34.89,Michael
didn't,34.89,35.1,Michael
mean,35.1,35.34,Michael
to,35.34,35.58,Michael
legs,35.67,35.94,Michael
out,35.94,36.21,Michael
you,36.3,36.63,Michael
but,37.11,37.26,Michael
i,37.26,37.32,Michael
have,37.32,37.47,Michael
to,37.47,37.59,Michael
agree,37.59,37.95,Michael
that,37.95,38.1,Michael
the,38.1,38.31,Michael
google,38.46,39.0,Michael
culture,39.09,39.48,Michael
is,39.48,39.6,Michael
different,39.6,39.99,Michael
in,39.99,40.14,Michael
each,40.14,40.29,Michael
country,40.29,40.77,Michael
hey,41.4,41.76,Michael
if,41.85,42.0,Michael
mirror,42.0,42.33,Michael
likes,42.33,42.72,Michael
could,42.81,42.99,Michael
we,42.99,43.11,Michael
go,43.11,43.26,Michael
watch,43.26,43.5,Michael
the,43.5,43.59,Michael
match,43.59,43.86,Michael
together,43.86,44.22,Michael
next,44.22,44.49,Michael
week,44.49,44.79,Michael
i,45.03,45.15,Michael
know,45.15,45.33,Michael
a,45.33,45.42,Michael
cafe,45.66,46.23,Michael
with,46.32,46.5,Michael
a,46.5,46.56,Michael
big,46.56,46.77,Michael
screen,46.77,47.1,Michael
showing,47.1,47.4,Michael
the,47.4,47.49,Michael
match,47.49,47.88,Michael
the,47.97,48.15,Michael
atmosphere,48.15,48.6,Michael
is,48.6,48.72,Michael
very,48.72,48.99,Michael
lively,48.99,49.44,Michael
going,49.74,50.04,Michael
to,50.04,50.19,Michael
watch,50.19,50.61,Mira
bomb,50.73,50.97,Mira
that,50.97,51.39,Mira
just,51.6,51.87,Mira
the,51.87,51.96,Mira
two,51.96,52.14,Mira
of,52.14,52.29,Mira
us,52.29,52.71,Mira
i,53.01,53.4,Mira
i,53.58,53.7,Mira
don't,53.7,53.82,Mira
know,53.82,54.09,Mira
is,54.18,54.3,Mira
that,54.3,54.63,Mira
gaffer,54.72,55.26,Mira
crowded,55.35,56.01,Mira
i,56.13,56.25,Mira
don't,56.25,56.4,Mira
like,56.4,56.58,Mira
places,56.58,56.97,Mira
that,56.97,57.18,Mira
are,57.18,57.3,Mira
too,57.3,57.54,Mira
noisy,57.54,58.17,Mira
