Word,Start Time,End Time,Speaker
what,0.0,0.27,Mira
do,0.27,0.36,Mira
you,0.36,0.51,Mira
think,0.51,0.78,Mira
about,0.78,1.26,Mira
bomber,1.35,1.83,Mira
relationships,2.01,2.82,Mira
i,2.82,2.91,Mira
have,2.91,3.12,Mira
a,3.12,3.21,Mira
friend,3.21,3.48,Mira
who's,3.48,3.6,Mira
dating,3.6,3.93,Mira
a,3.93,3.96,Mira
married,3.96,4.26,Mira
man,4.26,4.65,Mira
she,4.68,4.89,Mira
says,4.89,5.16,Mira
the,5.16,5.34,Mira
love,5.34,5.7,Mira
needs,5.7,5.94,Mira
to,5.94,6.06,Mira
be,6.06,6.36,Mira
bomber,6.42,6.93,Mira
because,7.08,7.38,Mira
of,7.38,7.5,Mira
social,7.5,7.92,Mira
circumstances,7.92,8.91,Mira
really,9.15,9.51,Mira
i,9.81,9.9,Mira
don't,9.9,10.02,Mira
think,10.02,10.23,Michael
any,10.23,10.44,Michael
bama,10.59,11.07,Michael
relationship,11.25,11.94,Michael
is,11.94,12.03,Michael
good,12.03,12.39,Michael
if,12.87,12.99,Michael
you,12.99,13.11,Michael
have,13.11,13.29,Michael
to,13.29,13.38,Michael
hide,13.38,13.65,Michael
your,13.65,13.77,Michael
feelings,13.77,14.37,Michael
then,14.46,14.64,Michael
perhaps,14.64,15.0,Michael
it's,15.0,15.15,Michael
not,15.15,15.33,Michael
true,15.33,15.72,Michael
then,15.81,16.05,Michael
you,16.074,16.41,Michael
the,16.53,16.65,Michael
new,16.65,17.07,Michael
should,17.16,17.34,Michael
be,17.34,17.49,Michael
open,17.49,17.82,Michael
and,17.82,17.91,Michael
proud,17.91,18.39,Michael
you,18.69,18.81,Michael
make,18.81,19.02,Michael
it,19.02,19.11,Michael
sound,19.11,19.35,Michael
so,19.35,19.56,Michael
easy,19.56,20.01,Michael
but,20.31,20.52,Mira
sometimes,20.52,21.06,Mira
feelings,21.06,21.48,Mira
on,21.48,21.63,Mira
that,21.641,21.84,Mira
simple,21.84,22.38,Mira
there,22.59,22.77,Mira
are,22.77,22.86,Mira
relationships,22.86,23.64,Mira
the,23.64,23.76,Mira
need,23.765,23.94,Mira
to,23.94,24.06,Mira
be,24.06,24.48,Mira
bomber,24.54,25.05,Mira
for,25.2,25.38,Mira
many,25.38,25.68,Mira
reasons,25.68,26.31,Mira
like,26.94,27.33,Mira
my,28.23,28.77,Mira
gums,28.83,29.151,Mira
soup,29.151,29.49,Mira
right,29.55,29.82,Mira
now,29.82,30.27,Mira
your,30.45,30.93,Michael
capsule,31.05,31.47,Michael
mirror,31.68,32.13,Michael
what,32.64,32.85,Michael
are,32.85,32.91,Michael
you,32.91,33.06,Michael
implying,33.06,33.63,Michael
if,34.71,34.83,Michael
you,34.83,34.98,Michael
have,34.98,35.07,Michael
something,35.07,35.37,Michael
to,35.37,35.46,Michael
say,35.46,35.88,Michael
i'm,36.27,36.45,Michael
always,36.45,36.84,Michael
ready,36.84,37.05,Michael
to,37.05,37.14,Michael
listen,37.14,37.53,Michael
i,38.43,38.55,Michael
think,38.55,38.73,Michael
the,38.73,38.82,Michael
truth,38.82,39.09,Michael
is,39.09,39.21,Michael
always,39.21,39.48,Michael
better,39.48,39.75,Michael
than,39.75,39.93,Michael
keeping,39.93,40.32,Michael
everything,40.32,40.74,Michael
in,40.74,40.83,Mira
the,40.83,40.92,Mira
dark,40.92,41.31,Mira
it's,41.61,41.82,Mira
nothing,41.82,42.3,Mira
i'm,42.33,42.51,Mira
just,42.51,42.72,Mira
talking,42.72,43.02,Mira
about,43.02,43.2,Mira
feelings,43.2,43.591,Mira
in,43.591,43.71,Mira
general,43.71,44.28,Mira
don't,44.64,44.91,Mira
think,44.91,45.15,Mira
too,45.15,45.36,Mira
much,45.36,45.93,Mira
but,46.23,46.62,Mira
if,47.1,47.25,Mira
i,47.25,47.37,Mira
really,47.37,47.64,Mira
did,47.64,47.82,Mira
have,47.82,48.0,Mira
something,48.0,48.33,Mira
to,48.33,48.45,Mira
tell,48.45,48.72,Mira
you,48.72,48.93,Mira
how,48.93,49.11,Mira
would,49.11,49.23,Mira
you,49.23,49.35,Mira
react,49.35,50.04,Mira
