Word,Start Time,End Time,Speaker
do,0.03,0.18,Mira
you,0.18,0.3,Mira
plan,0.3,0.54,Mira
to,0.54,0.63,Mira
go,0.63,0.75,Mira
somewhere,0.75,1.23,Mira
for,1.23,1.38,Mira
the,1.38,1.47,Mira
upcoming,1.47,2.04,Mira
gengler,2.16,2.88,Mira
i,3.09,3.24,Mira
heard,3.24,3.48,Mira
you,3.48,3.6,Mira
just,3.6,3.84,Mira
broke,3.84,4.08,Mira
up,4.08,4.2,Mira
with,4.2,4.35,Mira
your,4.35,4.47,Mira
ex,4.47,4.68,Mira
girlfriend,4.68,5.28,Mira
and,5.28,5.4,Mira
want,5.4,5.58,Mira
to,5.58,5.64,Mira
find,5.64,5.91,Mira
a,5.91,5.94,Mira
place,5.94,6.24,Mira
to,6.24,6.36,Mira
change,6.36,6.63,Mira
the,6.63,6.75,Mira
atmosphere,6.75,7.41,Mira
yeah,7.71,7.98,Mira
i'm,8.01,8.13,Mira
thinking,8.13,8.43,Mira
about,8.43,8.73,Mira
be,8.85,9.21,Mira
traveling,9.3,9.81,Mira
but,9.99,10.2,Michael
when,10.2,10.47,Michael
i,10.68,10.83,Michael
feel,10.83,11.04,Michael
like,11.04,11.22,Michael
i,11.22,11.28,Michael
need,11.28,11.52,Michael
a,11.52,11.67,Michael
can,11.82,12.0,Michael
you,12.0,12.12,Michael
lay,12.12,12.48,Michael
to,12.57,12.72,Michael
reflect,12.72,13.08,Michael
on,13.08,13.23,Michael
everything,13.23,13.74,Michael
after,13.74,14.01,Michael
the,14.01,14.1,Michael
breakup,14.1,14.61,Michael
do,15.09,15.21,Michael
you,15.21,15.3,Michael
have,15.3,15.48,Michael
any,15.48,15.75,Michael
interesting,15.78,16.29,Michael
destination,16.29,16.89,Michael
suggestions,16.89,17.4,Michael
for,17.4,17.52,Michael
the,17.52,17.82,Michael
king,17.88,18.236,Michael
he,18.24,18.33,Michael
lay,18.33,18.63,Michael
why,18.93,19.17,Michael
don't,19.17,19.35,Michael
you,19.35,19.47,Michael
try,19.47,19.98,Michael
the,20.16,20.4,Michael
to,20.49,20.73,Michael
suffer,20.73,21.36,Michael
during,21.81,22.32,Michael
that,22.32,22.47,Michael
skinny,22.47,23.01,Michael
low,23.01,23.4,Michael
supper,23.58,24.15,Michael
will,24.195,24.36,Michael
be,24.36,24.51,Michael
very,24.51,24.84,Michael
beautiful,24.84,25.62,Mira
with,25.65,25.86,Mira
majestic,25.86,26.52,Mira
mountain,26.52,26.94,Mira
scenery,26.94,27.54,Mira
you,27.96,28.11,Mira
can,28.11,28.26,Mira
go,28.26,28.44,Mira
hiking,28.44,29.07,Mira
explore,29.13,29.7,Mira
the,29.71,29.85,Mira
villages,29.85,30.39,Mira
and,30.39,30.57,Mira
enjoy,30.57,31.08,Mira
the,31.08,31.2,Mira
local,31.2,31.65,Mira
cuisine,31.65,32.19,Mira
i,32.52,32.67,Mira
think,32.67,33.0,Mira
it,33.0,33.12,Mira
will,33.12,33.27,Mira
be,33.27,33.51,Mira
a,33.51,33.69,Mira
memorable,33.69,34.38,Mira
experience,34.38,35.04,Mira
for,35.04,35.19,Mira
you,35.19,35.46,Mira
that,35.7,35.94,Mira
sounds,35.94,36.24,Mira
interesting,36.24,36.75,Mira
but,36.75,36.93,Mira
wouldn't,36.93,37.2,Mira
it,37.2,37.32,Mira
be,37.32,37.47,Mira
a,37.47,37.53,Michael
bit,37.53,37.74,Michael
sad,37.74,38.1,Michael
to,38.1,38.4,Michael
the,38.49,38.614,Michael
moment,38.614,39.09,Michael
on,39.24,39.45,Michael
a,39.45,39.57,Michael
king,39.69,39.99,Michael
a,39.99,40.08,Michael
lie,40.08,40.32,Michael
i'm,40.62,40.8,Michael
wondering,40.8,41.16,Michael
if,41.16,41.28,Michael
i,41.28,41.34,Michael
should,41.34,41.58,Michael
invite,41.58,41.94,Michael
someone,41.94,42.24,Michael
to,42.24,42.3,Michael
go,42.3,42.45,Michael
with,42.45,42.6,Michael
me,42.6,42.87,Michael
but,43.2,43.35,Michael
i,43.35,43.41,Michael
don't,43.41,43.62,Michael
know,43.62,43.8,Michael
who,43.8,43.95,Michael
to,43.95,44.07,Michael
invite,44.07,44.52,Michael
why,44.79,45.03,Michael
don't,45.03,45.24,Michael
you,45.24,45.33,Michael
try,45.33,45.6,Michael
inviting,45.6,46.02,Michael
a,46.02,46.08,Michael
close,46.08,46.41,Michael
friend,46.41,46.71,Michael
tuesday,46.71,47.37,Mira
with,47.46,47.7,Mira
you,47.7,48.06,Mira
or,48.72,48.78,Mira
maybe,48.788,49.02,Mira
someone,49.02,49.38,Mira
you,49.38,49.47,Mira
have,49.47,49.62,Mira
feelings,49.62,50.07,Mira
for,50.07,50.28,Mira
i,50.28,50.37,Mira
was,50.37,50.52,Mira
going,50.52,50.82,Mira
to,50.82,51.09,Mira
the,51.15,51.45,Mira
to,51.57,51.75,Mira
a,51.75,51.81,Mira
chess,51.81,52.14,Mira
tournament,52.14,52.83,Mira
mode,52.92,53.22,Mira
mean,53.22,53.61,Mira
this,53.73,54.15,Mira
king,54.21,54.544,Mira
you,54.544,54.69,Mira
know,54.72,55.11,Mira
you,55.32,55.5,Mira
could,55.5,55.68,Mira
also,55.68,55.92,Mira
join,55.92,56.25,Mira
me,56.28,56.49,Mira
if,56.49,56.61,Mira
you,56.61,56.73,Mira
want,56.73,57.06,Mira
