Word,Start Time,End Time,Speaker
mira,0.06,0.33,Michael
do,0.36,0.494,Michael
like,0.51,0.81,Michael
more,1.05,1.29,Michael
some,1.29,1.77,Michael
had,1.89,2.04,Michael
been,2.04,2.22,Michael
and,2.246,2.396,Michael
market,2.411,2.76,Michael
i,3.27,3.39,Michael
see,3.39,3.54,Michael
many,3.54,3.72,Michael
foreigners,3.72,4.14,Michael
like,4.14,4.32,Michael
to,4.32,4.41,Michael
buy,4.41,4.53,Michael
souvenirs,4.53,5.01,Michael
their,5.01,5.25,Michael
i,5.55,5.7,Michael
don't,5.7,6.21,Michael
pick,6.36,6.57,Mira
more,6.57,6.75,Mira
some,6.75,7.17,Mira
much,7.29,7.92,Mira
more,8.19,8.46,Mira
some,8.46,8.91,Mira
wastes,9.03,9.54,Mira
time,9.54,9.96,Mira
and,9.96,10.11,Mira
money,10.11,10.53,Mira
a,10.62,10.89,Mira
keep,11.01,11.31,Mira
spending,11.37,11.91,Mira
time,11.91,12.27,Mira
playing,12.27,12.84,Mira
go,12.99,13.239,Mira
want,13.239,13.74,Mira
more,13.86,14.28,Mira
but,14.37,14.73,Mira
if,15.27,15.42,Mira
you,15.42,15.54,Mira
want,15.54,15.72,Mira
to,15.72,15.81,Mira
go,15.81,16.17,Mira
more,16.32,16.56,Michael
some,16.56,17.04,Michael
with,17.16,17.37,Michael
me,17.37,17.61,Michael
i,17.61,17.76,Michael
might,17.76,18.09,Michael
reconsider,18.09,18.78,Michael
actually,19.02,19.44,Michael
i'm,19.44,19.59,Michael
not,19.59,19.74,Michael
really,19.74,19.95,Michael
some,19.95,20.16,Michael
one,20.16,20.28,Michael
who,20.28,20.55,Michael
think,20.7,20.88,Michael
more,20.88,21.06,Michael
some,21.078,21.51,Michael
either,21.63,21.99,Michael
but,22.17,22.32,Michael
i,22.32,22.38,Michael
think,22.38,22.59,Michael
going,22.59,22.95,Michael
more,23.19,23.43,Michael
some,23.437,23.88,Michael
with,24.0,24.24,Michael
you,24.24,24.39,Michael
would,24.39,24.54,Michael
be,24.54,24.69,Michael
interesting,24.69,25.32,Michael
maybe,25.56,25.8,Michael
we,25.8,25.89,Michael
could,25.89,26.04,Michael
find,26.04,26.25,Michael
a,26.25,26.31,Michael
beautiful,26.31,26.94,Michael
cover,27.06,27.81,Michael
said,27.9,28.26,Michael
at,28.26,28.32,Michael
the,28.32,28.41,Michael
market,28.41,28.74,Michael
i,28.74,28.8,Michael
know,28.8,28.98,Michael
an,28.98,29.07,Michael
antique,29.07,29.43,Michael
shop,29.43,29.67,Michael
that,29.67,29.79,Michael
has,29.79,29.91,Michael
many,29.91,30.18,Michael
unique,30.18,30.63,Michael
cover,30.9,31.65,Mira
sets,31.74,32.31,Mira
go,32.58,32.838,Mira
war,32.838,33.36,Mira
you,33.45,33.6,Mira
know,33.6,33.84,Mira
how,33.84,33.96,Mira
to,33.96,34.08,Mira
play,34.08,34.41,Mira
go,34.62,34.868,Mira
war,34.868,35.37,Mira
know,35.49,35.67,Mira
many,35.67,35.91,Mira
americans,35.91,36.54,Mira
know,36.54,36.69,Mira
how,36.69,36.81,Mira
to,36.81,36.99,Mira
play,36.99,37.35,Mira
go,37.5,37.751,Mira
war,37.751,38.25,Mira
i,38.37,38.46,Mira
didn't,38.46,38.64,Mira
think,38.64,38.88,Mira
you,38.88,39.0,Mira
are,39.0,39.09,Mira
someone,39.09,39.39,Mira
with,39.39,39.54,Mira
the,39.54,39.6,Mira
patience,39.6,40.08,Mira
to,40.08,40.201,Mira
learn,40.201,40.32,Mira
this,40.396,40.56,Mira
game,40.56,40.95,Mira
but,41.22,41.37,Mira
if,41.37,41.49,Mira
you,41.49,41.61,Mira
really,41.61,41.97,Mira
want,41.97,42.18,Mira
to,42.18,42.27,Mira
buy,42.27,42.53,Mira
i,42.54,42.69,Mira
go,42.87,43.122,Mira
war,43.122,43.62,Mira
set,43.71,44.04,Mira
i'll,44.07,44.22,Mira
help,44.22,44.43,Mira
you,44.43,44.55,Mira
choose,44.55,44.76,Mira
a,44.76,44.85,Mira
good,44.85,45.03,Mira
one,45.03,45.33,Mira
i'm,45.63,45.78,Michael
not,45.78,45.93,Michael
as,45.93,46.02,Michael
good,46.02,46.2,Michael
as,46.2,46.32,Michael
you,46.32,46.56,Michael
but,46.8,46.98,Michael
my,46.98,47.1,Michael
grandfather,47.1,47.67,Michael
taught,47.67,47.91,Michael
me,47.91,48.0,Michael
when,48.0,48.15,Michael
i,48.15,48.24,Michael
was,48.24,48.42,Michael
young,48.42,48.72,Michael
he,49.2,49.35,Michael
used,49.35,49.56,Michael
to,49.56,49.62,Michael
say,49.62,49.86,Michael
that,49.86,50.13,Michael
koval,50.31,51.09,Michael
helps,51.18,51.45,Michael
people,51.45,51.72,Michael
understand,51.72,52.2,Michael
each,52.2,52.32,Michael
other,52.32,52.56,Michael
without,52.56,52.86,Michael
many,52.86,53.07,Michael
words,53.07,53.55,Michael
perhaps,54.36,54.99,Michael
that's,55.5,55.77,Michael
why,55.77,55.95,Michael
i,55.95,56.01,Michael
want,56.01,56.16,Michael
to,56.16,56.22,Michael
play,56.22,56.7,Michael
koval,56.85,57.63,Michael
with,57.72,57.93,Michael
you,57.93,58.08,Michael
mirror,58.08,58.47,Michael
really,58.74,59.4,Mira
i,59.7,60.12,Mira
i,60.78,60.93,Mira
don't,60.93,61.11,Mira
know,61.11,61.2,Mira
what,61.2,61.38,Mira
to,61.38,61.47,Mira
say,61.47,61.98,Mira
no,62.31,62.55,Mira
one,62.55,62.7,Mira
has,62.7,62.88,Mira
ever,62.88,63.09,Mira
wanted,63.09,63.36,Mira
to,63.36,63.48,Mira
understand,63.48,63.99,Mira
me,63.99,64.08,Mira
that,64.08,64.29,Mira
way,64.29,64.62,Mira
but,64.86,65.04,Mira
you,65.04,65.16,Mira
should,65.16,65.37,Mira
know,65.37,65.82,Mira
i'm,65.91,66.09,Mira
not,66.09,66.3,Mira
easy,66.33,66.72,Mira
to,66.72,66.84,Mira
defeat,66.84,67.35,Mira
