Word,Start Time,End Time,Speaker
i,0.03,0.18,Mira
find,0.18,0.51,Mira
the,0.51,0.81,Mira
the,0.96,1.14,Mira
late,1.14,1.38,Mira
but,1.38,1.53,Mira
fat,1.53,1.86,Mira
in,1.95,2.13,Mira
saigon,2.13,2.64,Mira
much,2.64,2.91,Mira
lower,2.91,3.18,Mira
than,3.18,3.39,Mira
in,3.39,3.48,Mira
moscow,3.48,4.11,Mira
do,4.11,4.26,Mira
you,4.26,4.59,Mira
can,4.74,5.04,Mira
pay,5.04,5.49,Mira
on,5.67,5.88,Mira
been,6.03,6.63,Mira
living,6.81,7.17,Mira
here,7.17,7.59,Michael
that's,7.8,8.01,Michael
right,8.01,8.31,Michael
the,8.43,8.76,Michael
the,8.91,9.09,Michael
little,9.09,9.48,Michael
fun,9.48,9.87,Michael
here,9.96,10.2,Michael
is,10.2,10.38,Michael
quite,10.38,10.68,Michael
low,10.68,10.95,Michael
compared,10.95,11.37,Michael
to,11.37,11.49,Michael
many,11.49,11.76,Michael
other,11.76,11.97,Michael
big,11.97,12.21,Michael
cities,12.21,12.69,Michael
county,13.17,13.86,Michael
am,13.98,14.34,Michael
gone,14.55,15.03,Michael
when,15.21,15.6,Michael
the,15.81,16.02,Michael
ball,16.02,16.35,Michael
at,16.47,16.62,Michael
night,16.62,16.92,Michael
and,17.16,17.28,Michael
like,17.28,17.43,Michael
in,17.43,17.49,Michael
america,17.503,18.0,Mira
but,19.23,19.38,Mira
you,19.38,19.5,Mira
can't,19.5,19.737,Mira
deny,19.737,20.13,Mira
that,20.13,20.34,Mira
snatching,20.34,20.97,Mira
issues,20.97,21.47,Mira
still,21.47,21.75,Mira
exist,21.75,22.47,Mira
last,22.8,23.1,Mira
week,23.1,23.31,Mira
i,23.31,23.46,Mira
almost,23.46,24.06,Mira
had,24.06,24.21,Mira
my,24.21,24.33,Mira
phone,24.33,24.6,Mira
snatched,24.6,25.08,Mira
while,25.08,25.47,Mira
nibble,25.71,26.28,Mira
near,26.4,26.61,Mira
my,26.61,26.76,Michael
home,26.76,27.27,Michael
i'm,27.51,27.66,Michael
sorry,27.66,27.99,Michael
about,27.99,28.2,Michael
that,28.2,28.47,Michael
perhaps,29.31,29.82,Michael
i,30.87,30.99,Michael
should,30.99,31.2,Michael
accompany,31.2,31.56,Michael
you,31.56,31.68,Michael
more,31.68,31.92,Michael
often,31.92,32.22,Michael
to,32.22,32.31,Michael
ensure,32.31,32.61,Michael
safety,32.61,33.06,Michael
i,34.11,34.23,Michael
know,34.23,34.38,Michael
someone,34.38,34.86,Michael
gone,35.04,35.52,Mira
short,35.7,36.0,Mira
cuts,36.0,36.39,Mira
you,36.6,37.08,Mira
me,37.26,37.8,Mira
i,37.95,38.07,Mira
need,38.07,38.25,Mira
a,38.25,38.31,Mira
protector,38.31,38.88,Mira
of,38.88,39.09,Mira
some,39.27,39.9,Mira
in,40.08,40.29,Mira
moscow,40.29,40.95,Mira
but,41.37,41.64,Mira
perhaps,41.7,42.3,Mira
going,42.33,42.66,Mira
together,42.66,43.08,Michael
would,43.08,43.23,Michael
be,43.23,43.35,Michael
more,43.35,43.56,Michael
interesting,43.56,44.19,Michael
i,44.43,44.61,Michael
don't,44.61,45.12,Michael
he,45.3,45.93,Michael
you,45.99,46.17,Michael
need,46.17,46.38,Michael
protection,46.38,47.04,Michael
but,47.22,47.37,Michael
i,47.37,47.43,Michael
want,47.43,47.61,Michael
to,47.61,47.67,Michael
spend,47.67,47.91,Michael
more,47.91,48.09,Michael
time,48.09,48.39,Michael
with,48.39,48.54,Michael
you,48.54,48.81,Michael
where,49.02,49.2,Michael
do,49.2,49.29,Michael
you,49.29,49.41,Michael
think,49.41,49.65,Michael
the,49.65,50.01,Michael
the,50.19,50.34,Michael
little,50.34,50.76,Michael
fun,50.76,51.15,Michael
is,51.24,51.42,Michael
scarier,51.42,51.93,Michael
saigon,52.02,52.56,Michael
or,52.59,52.65,Michael
moscow,52.65,53.16,Michael
title,53.67,54.0,Michael
card,54.0,54.3,Michael
dangerous,54.57,54.99,Michael
streets,54.99,55.29,Michael
or,55.32,55.41,Michael
date,55.41,55.56,Michael
excuse,55.56,56.07,Michael
