Word,Start Time,End Time,Speaker
they're,0.0,0.27,Mira
watching,0.27,0.78,Mira
us,0.78,1.11,Mira
at,1.29,1.53,Mira
normal,1.53,2.13,Mira
don't,2.37,2.7,Mira
look,2.7,3.06,Mira
but,3.09,3.33,Mira
there,3.33,3.48,Mira
are,3.48,3.54,Mira
two,3.54,3.87,Mira
men,3.87,4.17,Mira
in,4.17,4.29,Mira
black,4.29,4.59,Mira
over,4.59,4.8,Mira
there,4.8,5.1,Mira
really,5.34,5.73,Mira
i,6.21,6.3,Michael
don't,6.3,6.48,Michael
see,6.48,6.69,Michael
anyone,6.69,7.17,Michael
maybe,7.95,8.22,Michael
you've,8.22,8.4,Michael
been,8.4,8.55,Michael
reading,8.55,8.88,Michael
too,8.88,9.06,Michael
many,9.06,9.33,Michael
detective,9.33,9.78,Michael
novels,9.78,10.23,Michael
idiot,10.59,11.13,Michael
i'm,11.16,11.31,Michael
not,11.31,11.46,Michael
joking,11.46,12.0,Michael
it's,12.03,12.18,Mira
just,12.18,12.39,Mira
like,12.39,12.54,Mira
how,12.54,12.69,Mira
you,12.69,12.99,Mira
me,13.17,13.68,Mira
about,13.86,14.46,Mira
get,14.61,14.82,Mira
home,14.82,15.3,Mira
do,15.39,15.54,Mira
you,15.54,15.66,Mira
believe,15.66,16.26,Mira
in,16.29,16.62,Mira
know,16.8,17.11,Mira
until,17.34,17.94,Mira
get,18.12,18.33,Mira
home,18.33,18.81,Mira
wait,18.93,19.17,Mira
for,19.17,19.29,Michael
what,19.29,19.56,Michael
oh,19.59,19.8,Michael
that,19.83,20.07,Michael
he,20.67,21.27,Michael
each,21.39,21.81,Michael
usually,21.96,22.56,Michael
has,22.71,22.92,Michael
the,22.92,23.01,Michael
right,23.01,23.25,Michael
to,23.25,23.34,Michael
decide,23.34,23.7,Michael
for,23.7,23.79,Michael
themselves,23.79,24.51,Michael
but,24.66,24.81,Michael
i,24.81,24.87,Michael
respect,24.87,25.38,Michael
young,25.59,25.86,Michael
lady,25.86,26.22,Michael
who,26.43,26.61,Michael
want,26.61,26.82,Michael
to,26.82,27.12,Michael
know,27.3,27.628,Michael
and,27.87,28.08,Michael
he'll,28.08,28.32,Michael
get,28.56,28.77,Michael
home,28.77,29.19,Michael
i've,29.37,29.55,Mira
always,29.55,29.79,Mira
believed,29.79,30.18,Mira
that,30.18,30.42,Mira
know,30.69,31.001,Mira
until,31.23,31.83,Mira
get,32.01,32.22,Mira
home,32.22,32.67,Mira
is,32.76,33.12,Mira
doomed,33.3,33.617,Mira
and,33.63,33.93,Mira
in,34.14,34.32,Mira
russia,34.32,34.83,Mira
my,34.89,35.04,Mira
family,35.04,35.46,Mira
is,35.46,35.58,Mira
very,35.58,35.76,Mira
traditional,35.76,36.42,Mira
but,36.66,36.84,Mira
many,36.84,37.23,Mira
movie,37.44,38.04,Mira
think,38.19,38.458,Mira
this,38.458,38.64,Mira
view,38.64,38.82,Mira
is,38.82,38.97,Mira
outdated,38.97,39.6,Mira
it's,39.84,40.23,Michael
home,40.41,40.95,Michael
outdated,41.1,41.79,Michael
just,41.91,42.15,Michael
cultural,42.15,42.57,Michael
differences,42.57,43.2,Michael
he,43.68,44.28,Michael
if,44.4,44.55,Michael
to,44.55,44.91,Michael
you,45.09,45.27,Michael
really,45.27,45.66,Michael
truly,45.81,46.17,Michael
love,46.17,46.35,Michael
each,46.35,46.5,Michael
other,46.5,46.83,Michael
they'll,46.92,47.13,Michael
respect,47.13,47.55,Michael
each,47.55,47.67,Michael
other's,47.67,47.91,Michael
boundary,47.91,48.24,Michael
these,48.24,48.57,Michael
what,48.81,48.96,Michael
do,48.96,49.02,Michael
you,49.02,49.11,Michael
think,49.11,49.35,Michael
about,49.35,49.77,Michael
young,49.95,50.22,Michael
lady,50.22,50.58,Michael
who,50.79,50.97,Michael
don't,50.97,51.36,Michael
don't,51.57,51.96,Michael
really,52.26,52.89,Mira
have,53.04,53.25,Mira
the,53.25,53.34,Mira
right,53.34,53.52,Mira
to,53.52,53.61,Mira
choose,53.61,54.21,Mira
but,54.39,54.54,Mira
i,54.54,54.63,Mira
find,54.63,55.2,Mira
know,55.41,55.746,Mira
until,55.95,56.606,Mira
get,56.76,57.0,Mira
home,57.0,57.48,Mira
create,57.57,58.02,Mira
something,58.02,58.44,Mira
special,58.44,59.25,Mira
like,59.61,59.85,Mira
a,59.85,59.91,Mira
chess,59.91,60.27,Mira
game,60.27,60.69,Mira
sometimes,60.84,61.44,Mira
you,61.44,61.53,Mira
have,61.53,61.71,Mira
to,61.71,61.8,Mira
be,61.8,61.95,Mira
patient,61.95,62.85,Mira
and,62.85,63.06,Mira
note,63.24,63.66,Mira
for,63.78,63.93,Mira
the,63.93,64.05,Mira
perfect,64.05,64.53,Mira
move,64.53,65.01,Mira
those,65.28,65.52,Mira
men,65.52,65.73,Mira
are,65.73,65.85,Mira
still,65.85,66.09,Mira
looking,66.09,66.45,Mira
at,66.45,66.6,Mira
us,66.6,67.02,Mira
