Word,Start Time,End Time,Speaker
i,0.06,0.18,Mira
went,0.18,0.45,Mira
to,0.45,0.75,Mira
now,0.9,1.2,Mira
lot,1.2,1.5,Mira
last,1.62,1.98,Mira
week,1.98,2.28,Mira
i,2.4,2.55,Mira
didn't,2.55,2.88,Mira
expect,2.88,3.36,Mira
vietnam,3.39,3.81,Mira
to,3.81,3.93,Mira
have,3.93,4.08,Mira
such,4.08,4.32,Mira
a,4.32,4.38,Mira
cool,4.38,4.68,Mira
place,4.68,5.22,Mira
now,5.52,5.795,Mira
that,5.795,6.12,Mira
is,6.24,6.39,Mira
completely,6.39,6.87,Mira
different,6.87,7.26,Mira
from,7.26,7.41,Mira
saigon,7.41,8.1,Mira
beautiful,8.31,8.85,Mira
scenery,8.85,9.45,Mira
and,9.45,9.63,Mira
peaceful,9.63,10.26,Mira
dialogue,10.62,11.19,Michael
is,11.31,11.58,Michael
truly,11.58,12.0,Michael
a,12.0,12.06,Michael
paradise,12.06,12.6,Michael
for,12.6,12.87,Michael
zulu,13.11,13.62,Michael
i,13.77,13.89,Michael
plan,13.89,14.13,Michael
to,14.135,14.22,Michael
go,14.22,14.37,Michael
to,14.37,14.61,Michael
the,14.79,15.034,Michael
lot,15.034,15.36,Michael
next,15.48,15.75,Michael
month,15.75,16.11,Michael
is,16.5,16.68,Michael
there,16.68,16.83,Michael
anything,16.83,17.16,Michael
interesting,17.16,17.55,Michael
their,17.55,17.76,Michael
that,17.76,17.91,Michael
you'd,17.91,18.06,Michael
like,18.06,18.21,Michael
to,18.21,18.3,Michael
recommend,18.3,18.84,Michael
for,19.11,19.32,Mira
one,19.32,19.5,Mira
lake,19.504,19.86,Mira
is,19.86,20.007,Mira
va,20.007,20.16,Mira
very,20.16,20.37,Mira
beautiful,20.37,21.12,Mira
but,21.36,21.57,Mira
too,21.57,21.84,Mira
crowded,21.84,22.44,Mira
with,22.44,22.62,Mira
tourists,22.62,23.46,Mira
are,23.52,23.94,Mira
pick,24.06,24.39,Mira
the,24.48,24.6,Mira
small,24.6,24.99,Mira
roads,24.99,25.38,Mira
through,25.38,25.59,Mira
pine,25.59,25.98,Mira
forests,25.98,26.76,Mira
more,26.76,27.24,Mira
if,27.63,27.93,Mira
you,27.93,28.26,Mira
take,28.41,28.71,Mira
quiet,28.8,29.13,Mira
places,29.13,29.73,Mira
we,29.73,29.85,Mira
could,29.85,30.15,Mira
oh,30.99,31.11,Mira
no,31.11,31.62,Mira
i,31.74,31.89,Mira
mean,31.89,32.19,Mira
you,32.22,32.37,Mira
should,32.37,32.61,Mira
visit,32.61,32.88,Mira
places,32.88,33.3,Mira
that,33.3,33.48,Mira
fewer,33.48,33.75,Mira
people,33.75,34.02,Michael
know,34.02,34.26,Michael
about,34.26,34.71,Michael
we,35.01,35.19,Michael
could,35.19,35.43,Michael
sounds,35.43,35.7,Michael
good,35.7,35.91,Michael
to,35.91,36.0,Michael
me,36.0,36.15,Michael
on,36.15,36.33,Michael
zulu,36.84,37.35,Michael
to,37.53,37.95,Michael
the,38.1,38.334,Michael
lot,38.34,38.7,Michael
together,38.79,39.3,Michael
i,39.75,39.81,Michael
want,39.81,39.96,Michael
to,39.96,40.02,Michael
explore,40.02,40.38,Michael
those,40.38,40.56,Michael
pine,40.56,40.86,Michael
forest,40.86,41.22,Michael
roads,41.22,41.49,Michael
with,41.49,41.64,Michael
someone,41.64,41.91,Michael
who,41.91,42.0,Michael
knows,42.0,42.27,Michael
the,42.27,42.36,Michael
place,42.36,42.63,Michael
well,42.63,42.96,Michael
don't,43.29,43.53,Mira
misunderstand,43.53,44.52,Mira
i'm,44.7,44.88,Mira
not,44.88,45.03,Mira
a,45.03,45.09,Mira
good,45.09,45.3,Mira
a,45.3,45.36,Mira
guiding,45.39,45.9,Mira
but,45.9,46.2,Mira
if,46.92,47.07,Mira
you,47.07,47.19,Mira
really,47.19,47.43,Mira
want,47.43,47.7,Mira
to,47.7,48.0,Mira
zhu,48.18,48.48,Mira
li,48.48,48.75,Mira
i,48.87,48.99,Mira
might,48.99,49.26,Mira
consider,49.26,49.77,Mira
it,49.77,50.07,Mira
only,50.67,50.94,Mira
big,50.94,51.12,Mira
i,51.12,51.33,Mira
also,51.33,51.6,Mira
want,51.6,51.81,Mira
to,51.81,51.9,Mira
go,51.9,52.05,Mira
to,52.05,52.29,Mira
know,52.5,52.759,Mira
that,52.759,53.1,Mira
again,53.22,53.64,Mira
not,53.7,53.91,Mira
for,53.91,54.06,Mira
any,54.06,54.24,Mira
other,54.24,54.45,Mira
reason,54.45,54.96,Mira
