Word,Start Time,End Time,Speaker
i,0.03,0.15,Mira
notice,0.15,0.45,Mira
westerners,0.462,0.99,Mira
like,0.99,1.17,Mira
you,1.17,1.35,Mira
usually,1.35,1.98,Mira
pick,2.19,2.43,Mira
mom,2.43,2.82,Mira
more,2.97,3.36,Mira
than,3.36,3.78,Mira
move,3.99,4.32,Mira
russian,4.44,4.77,Mira
men,4.77,4.98,Mira
like,4.98,5.28,Mira
us,5.28,5.496,Mira
are,5.496,5.585,Mira
different,5.61,6.18,Mira
actually,6.42,6.81,Michael
i'm,6.81,6.96,Michael
not,6.96,7.14,Michael
purely,7.14,7.44,Michael
western,7.44,7.86,Michael
but,8.13,8.31,Michael
it's,8.31,8.43,Michael
true,8.43,8.67,Michael
that,8.67,8.79,Michael
the,8.79,8.88,Michael
question,8.88,9.33,Michael
of,9.33,9.51,Michael
mom,9.72,10.23,Michael
and,10.38,10.83,Michael
you,11.01,11.34,Michael
makes,11.49,11.73,Michael
me,11.73,11.88,Michael
think,11.88,12.09,Michael
a,12.09,12.12,Michael
lot,12.12,12.36,Michael
about,12.36,12.63,Michael
vanilla,12.87,13.62,Michael
differences,13.74,14.4,Michael
poovey,14.82,15.39,Mira
indeed,15.51,15.9,Mira
russian,15.96,16.29,Mira
men,16.29,16.5,Mira
usually,16.5,16.98,Mira
pick,17.16,17.4,Mira
know,17.4,17.64,Mira
more,17.76,18.27,Mira
perhaps,19.38,19.83,Mira
because,19.83,20.16,Mira
it,20.16,20.25,Mira
evokes,20.25,20.64,Mira
warmth,20.64,21.0,Michael
in,21.0,21.12,Michael
cold,21.12,21.39,Michael
weather,21.39,21.84,Michael
i've,22.11,22.29,Michael
never,22.29,22.68,Michael
had,22.86,23.16,Michael
thought,23.31,23.52,Michael
about,23.52,23.73,Michael
that,23.73,23.94,Michael
but,23.94,24.06,Michael
if,24.06,24.15,Michael
we,24.15,24.24,Michael
go,24.24,24.39,Michael
to,24.39,24.45,Michael
russia,24.45,24.78,Michael
together,24.78,25.17,Michael
some,25.17,25.38,Michael
day,25.38,25.56,Michael
could,25.56,25.74,Michael
you,25.74,25.86,Michael
explain,25.86,26.37,Michael
more,26.37,26.61,Michael
about,26.61,26.88,Michael
this,26.88,27.24,Michael
vanilla,27.39,28.14,Michael
you,28.35,28.5,Mira
want,28.5,28.68,Mira
to,28.68,28.74,Mira
go,28.74,28.89,Mira
to,28.89,28.98,Mira
russia,28.98,29.34,Mira
with,29.34,29.49,Mira
me,29.49,29.79,Mira
it's,29.85,30.15,Mira
bold,30.15,30.496,Mira
to,30.496,30.6,Mira
talk,30.6,30.84,Mira
about,30.84,31.23,Mira
the,31.47,31.71,Mira
mom,31.77,32.28,Mira
and,32.46,32.64,Mira
then,32.64,32.79,Mira
invite,32.79,33.21,Mira
me,33.21,33.3,Mira
traveling,33.3,33.96,Mira
but,34.05,34.23,Mira
i,34.23,34.32,Mira
find,34.32,34.71,Mira
it,34.71,34.92,Mira
poovey,35.19,35.73,Mira
