Word,Start Time,End Time,Speaker
vietnam,0.06,0.63,Mira
is,0.63,1.05,Mira
a,1.26,1.38,Mira
map,1.38,1.86,Mira
has,1.95,2.19,Mira
many,2.19,2.49,Mira
beautiful,2.49,2.97,Mira
songs,2.97,3.69,Mira
but,3.69,3.93,Mira
i,3.93,4.08,Mira
don't,4.08,4.53,Mira
heal,4.74,5.31,Mira
all,5.46,5.67,Mira
the,5.67,5.79,Mira
lyrics,5.79,6.45,Mira
i,6.78,6.93,Mira
prefer,6.93,7.399,Mira
classical,7.44,8.1,Mira
yeah,8.28,8.67,Mira
it,8.85,8.97,Mira
does,8.97,9.12,Mira
require,9.132,9.54,Mira
understanding,9.54,10.14,Mira
the,10.14,10.23,Mira
woods,10.23,10.89,Michael
classical,11.04,11.61,Michael
now,11.85,12.27,Michael
interesting,12.39,12.9,Michael
i,12.9,12.96,Michael
think,12.96,13.23,Michael
i'm,13.47,13.65,Michael
now,13.65,13.98,Michael
is,14.13,14.28,Michael
a,14.28,14.37,Michael
universal,14.37,14.85,Michael
language,14.85,15.3,Michael
even,15.33,15.54,Michael
if,15.54,15.63,Michael
you,15.63,15.72,Michael
don't,15.72,16.08,Michael
heal,16.26,16.65,Michael
the,16.8,16.92,Michael
lyrics,16.92,17.4,Michael
but,17.58,17.746,Michael
the,17.76,17.85,Michael
enemies,17.85,18.3,Michael
now,18.6,19.02,Michael
has,19.17,19.35,Michael
its,19.35,19.47,Michael
own,19.47,19.65,Michael
soul,19.65,20.16,Michael
just,20.31,20.55,Michael
like,20.55,20.73,Michael
how,20.73,20.88,Michael
vietnamese,20.88,21.39,Michael
people,21.39,21.66,Michael
live,21.66,21.99,Michael
through,22.26,22.74,Michael
universal,23.25,23.94,Mira
language,23.94,24.6,Mira
sounds,24.87,25.26,Mira
like,25.26,25.41,Mira
an,25.41,25.53,Mira
empty,25.53,25.8,Mira
phrase,25.8,26.19,Mira
from,26.19,26.37,Mira
globalists,26.37,27.24,Mira
that,27.3,27.57,Mira
a,27.75,27.87,Mira
map,27.87,28.38,Mira
of,28.47,28.65,Mira
each,28.65,28.83,Mira
culture,28.83,29.31,Mira
is,29.31,29.46,Mira
different,29.46,30.03,Mira
in,30.06,30.21,Mira
russia,30.21,30.78,Mira
are,31.104,31.41,Mira
a,31.65,31.77,Mira
map,31.77,32.28,Mira
is,32.34,32.55,Mira
deep,32.55,32.91,Mira
and,32.91,33.028,Mira
emotional,33.028,33.81,Mira
don't,34.56,34.757,Mira
like,34.757,34.95,Mira
modern,34.95,35.25,Mira
western,35.25,35.85,Mira
yeah,36.06,36.48,Michael
maybe,36.66,36.93,Michael
you're,36.93,37.08,Michael
right,37.08,37.29,Michael
about,37.29,37.5,Michael
the,37.5,37.56,Michael
differences,37.56,38.16,Michael
but,39.21,39.36,Michael
i,39.36,39.42,Michael
think,39.42,39.6,Michael
that's,39.6,39.84,Michael
the,39.84,39.96,Michael
beauty,39.96,40.44,Michael
of,40.44,40.83,Michael
i'm,41.04,41.22,Michael
now,41.22,41.55,Michael
it,42.54,42.69,Michael
reflects,42.69,43.08,Michael
culture,43.08,43.59,Michael
but,43.98,44.16,Michael
still,44.16,44.43,Michael
touches,44.43,44.82,Michael
everyone's,44.82,45.33,Michael
emotions,45.33,45.96,Michael
hey,47.16,47.49,Michael
i,48.06,48.18,Michael
have,48.18,48.36,Michael
a,48.36,48.42,Michael
playlist,48.42,48.93,Michael
of,48.93,49.018,Michael
vietnamese,49.018,49.62,Michael
classical,49.62,50.25,Michael
now,50.49,50.91,Michael
mixed,51.0,51.33,Michael
with,51.33,51.51,Michael
russian,51.51,51.84,Michael
symphonies,51.84,52.44,Michael
would,52.89,53.1,Michael
you,53.1,53.34,Michael
like,53.58,53.82,Michael
to,53.82,53.91,Michael
listen,53.91,54.15,Michael
to,54.15,54.3,Michael
with,54.3,54.45,Michael
me,54.45,54.66,Michael
vietnamese,55.02,55.8,Mira
were,55.98,56.4,Mira
mixed,56.55,56.85,Mira
with,56.85,57.0,Mira
russian,57.0,57.51,Mira
yeah,57.69,58.11,Mira
sounds,58.23,58.65,Mira
strange,58.65,59.37,Mira
but,59.43,59.7,Mira
i'm,59.7,59.82,Mira
curious,59.82,60.63,Mira
perhaps,60.78,61.35,Mira
a,61.56,61.68,Mira
that,61.89,62.16,Mira
isn't,62.25,62.61,Mira
exactly,62.61,63.09,Mira
what,63.09,63.27,Mira
i,63.27,63.39,Mira
thought,63.39,63.87,Mira
send,64.35,64.62,Mira
me,64.62,64.71,Mira
the,64.71,64.83,Mira
playlist,64.83,65.55,Mira
and,65.55,65.88,Mira
i'll,66.48,66.63,Mira
think,66.63,66.87,Mira
of,66.87,66.96,Mira
not,66.96,67.08,Mira
listening,67.08,67.44,Mira
with,67.44,67.62,Mira
you,67.62,67.89,Mira
