Word,Start Time,End Time,Speaker
hey,0.03,0.21,Mira
michael,0.21,0.66,Mira
have,0.66,0.84,Mira
you,0.84,0.99,Mira
heard,0.99,1.17,Mira
of,1.17,1.26,Mira
the,1.26,1.71,Mira
be,1.8,2.1,Mira
unlike,2.1,2.55,Mira
high,2.58,2.94,Mira
in,3.03,3.18,Mira
saigon,3.18,3.69,Mira
during,3.69,3.93,Mira
the,3.93,4.02,Mira
full,4.02,4.23,Mira
moon,4.23,4.77,Mira
they,5.34,5.49,Mira
say,5.49,5.76,Mira
if,5.76,5.91,Mira
two,5.91,6.06,Mira
people,6.06,6.33,Mira
attend,6.33,6.69,Mira
this,6.69,7.05,Mira
lie,7.11,7.68,Mira
together,7.77,8.43,Mira
they'll,8.46,8.67,Mira
be,8.67,8.82,Mira
connected,8.82,9.36,Mira
forever,9.36,10.02,Mira
of,10.77,10.95,Mira
course,10.95,11.55,Mira
it's,11.79,11.91,Mira
not,11.91,12.09,Mira
like,12.09,12.27,Mira
i,12.27,12.36,Mira
care,12.36,12.78,Mira
about,12.78,13.11,Mira
that,13.14,13.62,Michael
what,13.86,14.4,Michael
my,14.46,14.64,Michael
whole,14.64,14.94,Michael
is,15.15,15.3,Michael
that,15.3,15.63,Michael
i've,16.26,16.44,Michael
lived,16.44,16.62,Michael
in,16.62,16.71,Michael
saigon,16.71,17.13,Michael
for,17.13,17.25,Michael
quite,17.25,17.49,Michael
awhile,17.49,17.82,Michael
but,17.82,17.94,Michael
never,17.94,18.15,Michael
heard,18.15,18.33,Michael
of,18.33,18.42,Michael
it,18.42,18.57,Michael
but,19.11,19.29,Michael
if,19.29,19.38,Michael
you,19.38,19.5,Michael
want,19.5,19.71,Michael
to,19.71,19.77,Michael
go,19.77,20.1,Michael
i,20.13,20.22,Michael
could,20.22,20.34,Michael
go,20.34,20.52,Michael
with,20.52,20.67,Michael
you,20.67,20.91,Michael
i,20.97,21.12,Michael
really,21.12,21.48,Michael
enjoy,21.48,21.81,Michael
exploring,21.81,22.32,Michael
drink,22.5,22.83,Michael
homely,22.83,23.16,Michael
hoy,23.164,23.58,Michael
especially,23.76,24.27,Michael
ones,24.27,24.54,Michael
with,24.54,24.69,Michael
romantic,24.69,25.2,Michael
significance,25.2,25.83,Michael
like,25.83,26.04,Michael
that,26.04,26.34,Michael
don't,26.61,26.82,Michael
misunderstand,26.82,27.78,Michael
i'm,27.93,28.08,Mira
just,28.08,28.26,Mira
curious,28.26,28.86,Mira
but,28.86,29.19,Mira
if,29.73,29.88,Mira
you,29.88,30.0,Mira
want,30.0,30.15,Mira
to,30.15,30.21,Mira
go,30.21,30.63,Mira
i,30.72,30.81,Mira
wouldn't,30.81,31.11,Mira
mind,31.11,31.5,Mira
they,31.74,31.86,Mira
say,31.86,32.1,Mira
this,32.1,32.43,Mira
lie,32.46,33.03,Mira
only,33.15,33.42,Mira
appears,33.42,33.87,Mira
once,33.87,34.14,Mira
a,34.14,34.2,Mira
year,34.2,34.59,Mira
and,34.83,35.01,Mira
two,35.01,35.19,Mira
people,35.19,35.55,Mira
must,35.55,35.782,Mira
search,35.782,36.06,Mira
for,36.06,36.214,Mira
it,36.214,36.328,Mira
together,36.328,36.75,Mira
to,36.75,36.87,Mira
find,36.87,37.23,Mira
it,37.23,37.53,Mira
do,38.4,38.52,Mira
you,38.52,38.7,Mira
believe,38.7,39.03,Mira
in,39.03,39.12,Mira
things,39.12,39.42,Mira
like,39.42,39.6,Mira
that,39.6,40.11,Mira
i,40.2,40.32,Mira
think,40.32,40.53,Mira
culture,40.53,40.95,Mira
and,40.95,41.13,Mira
dream,41.31,41.61,Michael
home,41.64,41.97,Michael
always,42.09,42.36,Michael
have,42.36,42.51,Michael
interesting,42.51,43.02,Michael
be,43.14,43.41,Michael
on,43.41,43.68,Michael
elements,43.8,44.4,Michael
such,44.43,44.91,Michael
a,45.03,45.12,Michael
high,45.12,45.42,Michael
might,45.6,45.87,Michael
be,45.87,45.99,Michael
ways,45.99,46.41,Michael
for,46.41,46.53,Michael
locals,46.53,46.98,Michael
to,46.98,47.07,Michael
connect,47.07,47.4,Michael
with,47.4,47.52,Michael
each,47.52,47.7,Michael
other,47.7,48.0,Michael
but,48.75,48.93,Michael
wait,48.93,49.23,Michael
the,49.98,50.1,Michael
next,50.1,50.37,Michael
full,50.37,50.55,Michael
moon,50.55,50.79,Michael
is,50.79,50.88,Michael
tomorrow,50.88,51.42,Michael
would,52.02,52.17,Michael
you,52.17,52.29,Michael
like,52.29,52.5,Michael
us,52.5,52.59,Michael
to,52.59,52.68,Michael
try,52.68,52.89,Michael
finding,52.89,53.25,Michael
this,53.25,53.61,Michael
literally,53.64,54.12,Michael
i,54.36,54.48,Michael
could,54.48,54.6,Michael
pick,54.6,54.75,Michael
you,54.75,54.87,Michael
up,54.87,54.96,Michael
at,54.96,55.02,Michael
seven,55.02,55.26,Michael
pm,55.26,55.65,Michael
i,55.89,56.22,Michael
i,56.94,57.12,Michael
didn't,57.12,57.33,Mira
say,57.33,57.66,Mira
i,57.66,57.81,Mira
wanted,57.81,58.14,Mira
to,58.14,58.26,Mira
go,58.26,58.74,Mira
but,58.83,59.22,Mira
okay,60.09,60.6,Mira
i'll,60.78,60.93,Mira
get,60.93,61.11,Mira
ready,61.11,61.44,Mira
there's,61.8,62.04,Mira
one,62.04,62.25,Mira
thing,62.25,62.46,Mira
you,62.46,62.55,Mira
should,62.55,62.76,Mira
know,62.76,63.03,Mira
about,63.03,63.36,Mira
this,63.36,63.75,Mira
lie,63.78,64.35,Mira
they,64.62,64.74,Mira
say,64.74,64.92,Mira
participants,64.92,65.64,Mira
must,65.64,65.94,Mira
wear,65.94,66.3,Mira
tuned,66.42,66.75,Mira
home,66.75,67.11,Mira
clothes,67.17,67.83,Mira
do,68.4,68.61,Mira
you,68.61,68.79,Mira
have,68.79,69.18,Mira
to,69.3,69.45,Mira
and,69.45,69.6,Mira
home,69.606,69.99,Mira
vietnamese,70.08,70.71,Mira
clothing,70.71,71.37,Mira
i,71.52,71.64,Mira
have,71.64,71.82,Mira
a,71.82,71.88,Mira
russian,71.88,72.33,Mira
traditional,72.33,72.9,Mira
dress,72.9,73.38,Mira
that,73.44,73.62,Mira
my,73.62,73.77,Mira
grandmother,73.77,74.31,Mira
made,74.31,74.64,Mira
