Word,Start Time,End Time,Speaker
have,0.06,0.21,Mira
you,0.21,0.3,Mira
heard,0.3,0.51,Mira
vietnamese,0.51,1.08,Mira
girl,1.08,1.35,Mira
saying,1.366,1.77,Mira
where,1.77,1.89,Mira
the,1.89,1.98,Mira
vietnamese,1.98,2.73,Mira
done,2.97,3.27,Mira
own,3.3,3.69,Mira
prefer,3.9,4.23,Mira
show,4.23,4.53,Mira
me,4.71,5.22,Mira
or,5.34,5.76,Mira
mom,5.94,6.48,Mira
more,6.69,7.17,Michael
he,7.92,8.52,Michael
vietnamese,8.67,9.39,Michael
than,9.6,9.87,Michael
i'm,9.873,10.23,Michael
usually,10.35,10.95,Michael
take,11.16,11.37,Michael
any,11.37,11.85,Michael
more,11.94,12.36,Michael
but,12.36,12.54,Michael
it,12.54,12.66,Michael
also,12.66,12.9,Michael
depends,12.9,13.23,Michael
on,13.23,13.32,Michael
the,13.32,13.41,Michael
individual,13.41,13.98,Michael
why,14.13,14.37,Michael
are,14.37,14.46,Michael
you,14.46,14.61,Michael
asking,14.61,15.03,Mira
just,15.27,15.54,Mira
curious,15.54,16.23,Mira
my,16.59,16.74,Mira
friend,16.74,17.04,Mira
told,17.04,17.25,Mira
me,17.25,17.37,Mira
that,17.37,17.55,Mira
vietnamese,17.55,18.33,Mira
than,18.54,18.84,Mira
own,18.87,19.29,Mira
a,19.47,19.56,Mira
different,19.56,19.98,Mira
from,19.98,20.16,Mira
russian,20.19,20.58,Mira
men,20.58,20.82,Mira
in,20.82,20.97,Mira
russia,20.97,21.45,Mira
men,21.48,21.96,Mira
pick,22.11,22.35,Mira
mom,22.35,22.74,Mira
more,22.92,23.43,Mira
that's,23.67,23.88,Michael
interesting,23.88,24.36,Michael
i,24.36,24.48,Michael
didn't,24.48,24.66,Michael
know,24.66,25.02,Michael
vanilla,25.2,25.95,Michael
could,26.1,26.31,Michael
influence,26.31,26.73,Michael
such,26.73,26.94,Michael
preferences,26.94,27.6,Michael
what,27.6,27.81,Michael
are,27.81,27.84,Michael
you,27.853,28.08,Michael
he,28.29,28.89,Michael
about,28.98,29.31,Michael
this,29.31,29.61,Michael
i,29.88,30.24,Michael
need,30.39,30.69,Michael
an,30.69,30.87,Michael
ohm,30.87,31.2,Mira
are,31.38,31.5,Mira
the,31.5,31.59,Mira
same,31.59,31.86,Mira
everywhere,31.86,32.4,Mira
but,32.58,32.79,Mira
maybe,32.79,33.33,Mira
one,33.57,33.84,Mira
why,33.84,34.32,Mira
influences,34.47,35.22,Mira
a,35.22,35.28,Mira
little,35.28,35.64,Mira
what,36.84,37.2,Mira
do,37.2,37.32,Mira
you,37.32,37.62,Mira
take,37.86,38.13,Mira
more,38.25,38.67,Mira
ah,39.21,39.54,Mira
i,39.6,39.75,Mira
shouldn't,39.75,40.131,Mira
ask,40.131,40.38,Mira
that,40.38,40.71,Michael
by,40.92,41.25,Michael
i'm,42.21,42.66,Michael
that's,43.62,43.77,Michael
hard,43.77,43.95,Michael
to,43.95,44.04,Michael
answer,44.04,44.4,Michael
i,45.24,45.63,Michael
e,45.78,46.35,Michael
i,46.44,46.62,Michael
appreciate,46.62,47.13,Michael
both,47.13,47.52,Michael
but,47.7,47.88,Michael
what's,47.88,48.06,Michael
more,48.06,48.24,Michael
important,48.24,48.66,Michael
is,48.66,48.78,Michael
the,48.78,48.9,Michael
person,48.9,49.26,Michael
who,49.26,49.35,Michael
possesses,49.35,49.83,Michael
them,49.83,50.1,Michael
do,50.7,50.82,Michael
you,50.82,50.91,Michael
think,50.91,51.12,Michael
it's,51.12,51.239,Michael
strange,51.239,51.6,Michael
that,51.6,51.72,Michael
we're,51.72,51.84,Michael
discussing,51.84,52.29,Michael
this,52.29,52.41,Michael
topic,52.41,52.86,Michael
title,53.73,54.09,Michael
card,54.09,54.51,Michael
boobs,54.84,55.17,Michael
or,55.17,55.26,Michael
but,55.26,55.5,Michael
debate,55.5,55.89,Michael
